code;title;short_title;un_rep;ec_dis;graph2;chord;pop_total;pop_unknown;pop_self;pop_wo_unk;capital;lat;lon
105;Полтавская область;Полтавская;Украинская ССР;Донецко-Приднепровский;Донецко-Приднепровский;Украинская ССР;1748716;6853;1355393;1741863;г. Полтава;49.574444;34.568611
106;Ровенская область;Ровенская;Украинская ССР;Юго-Западный;Юго-Западный;Украинская ССР;1164241;22997;981528;1141244;г. Ровно;50.619722;26.251389
107;Сумская область;Сумская;Украинская ССР;Донецко-Приднепровский;Донецко-Приднепровский;Украинская ССР;1427498;3944;1171733;1423554;г. Сумы;50.906799;34.799235
108;Тернопольская область;Тернопольская;Украинская ССР;Юго-Западный;Юго-Западный;Украинская ССР;1163974;43647;1003748;1120327;г. Тернополь;49.566667;25.600000
109;Харьковская область;Харьковская;Украинская ССР;Донецко-Приднепровский;Донецко-Приднепровский;Украинская ССР;3174675;18216;2197604;3156459;г. Харьков;50.000000;36.166667
110;Херсонская область;Херсонская;Украинская ССР;Южный;Южный;Украинская ССР;1236970;7958;766714;1229012;г. Херсон;46.6425;32.625
111;Хмельницкая область;Хмельницкая;Украинская ССР;Юго-Западный;Юго-Западный;Украинская ССР;1521564;7658;1319096;1513906;г. Хмельницкий;49.42;27.00000
112;Черкасская область;Черкасская;Украинская ССР;Юго-Западный;Юго-Западный;Украинская ССР;1527353;5700;1182717;1521653;г. Черкассы;49.444444;32.059722
113;Черниговская область;Черниговская;Украинская ССР;Юго-Западный;Юго-Западный;Украинская ССР;1412770;7316;1215277;1405454;г. Чернигов;51.5;31.30000
114;Черновицкая область;Черновицкая;Украинская ССР;Юго-Западный;Юго-Западный;Украинская ССР;940801;2724;810058;938077;г. Черновцы;48.290833;25.934444
115;Брестская область;Брестская;Белорусская ССР;Белорусский;Белорусская ССР;Белорусская ССР;1449002;10011;1182424;1438991;г. Брест;52.091389;23.673333
116;Витебская область;Витебская;Белорусская ССР;Белорусский;Белорусская ССР;Белорусская ССР;1409909;4242;1125067;1405667;г. Витебск;55.183333;30.166667
117;Гомельская область;Гомельская;Белорусская ССР;Белорусский;Белорусская ССР;Белорусская ССР;1667795;7506;1344487;1660289;г. Гомель;52.441667;31.000000
118;Гродненская область;Гродненская;Белорусская ССР;Белорусский;Белорусская ССР;Белорусская ССР;1163608;8820;963812;1154788;г. Гродно;53.666667;23.816667
119;г. Минск;г. Минск;Белорусская ССР;Белорусский;Белорусская ССР;Белорусская ССР;1607077;11615;682856;1595462;г. Минск;53.916667;27.55
120;Минская область;Минская;Белорусская ССР;Белорусский;Белорусская ССР;Белорусская ССР;1574618;6951;1243072;1567667;г. Минск;53.916667;27.55
121;Могилевская область;Могилевская;Белорусская ССР;Белорусский;Белорусская ССР;Белорусская ССР;1279797;5914;1019829;1273883;г. Могилев;53.916667;30.35
122;Каракалпакская АССР;Каракалпакская;Узбекская ССР;Среднеазиатский;Узбекская ССР;Среднеазиатский;1212207;326;1165442;1211881;г. Нукус;42.464722;59.602222
123;Андижанская область;Андижанская;Узбекская ССР;Среднеазиатский;Узбекская ССР;Среднеазиатский;1721337;1594;1626951;1719743;г. Андижан;40.766667;72.35
124;Бухарская область;Бухарская;Узбекская ССР;Среднеазиатский;Узбекская ССР;Среднеазиатский;1622484;2648;1109676;1619836;г. Бухара;39.774722;64.428611
125;Кашкадарьинская область;Кашкадарьинская;Узбекская ССР;Среднеазиатский;Узбекская ССР;Среднеазиатский;1595760;1095;1503754;1594665;г. Карши;38.866667;65.8
126;Наманганская область;Наманганская;Узбекская ССР;Среднеазиатский;Узбекская ССР;Среднеазиатский;1470871;202;1414049;1470669;г. Наманган;40.966667;71.566667
127;Самаркандская область;Самаркандская;Узбекская ССР;Среднеазиатский;Узбекская ССР;Среднеазиатский;2281872;5691;2113791;2276181;г. Самарканд;39.654167;66.959722
128;Сурхандарьинская область;Сурхандарьинская;Узбекская ССР;Среднеазиатский;Узбекская ССР;Среднеазиатский;1249879;2289;1166689;1247590;г. Термез;37.224167;67.278333
129;Сырдарьинская область;Сырдарьинская;Узбекская ССР;Среднеазиатский;Узбекская ССР;Среднеазиатский;1297949;1198;1002154;1296751;г. Джизак;40.116667;67.85
130;г. Ташкент;г. Ташкент;Узбекская ССР;Среднеазиатский;Узбекская ССР;Среднеазиатский;2060206;25109;1218734;2035097;г. Ташкент;41.3;69.25
131;Ташкентская область;Ташкентская;Узбекская ССР;Среднеазиатский;Узбекская ССР;Среднеазиатский;2143462;8191;1667526;2135271;г. Ташкент;41.3;69.25
132;Ферганская область;Ферганская;Узбекская ССР;Среднеазиатский;Узбекская ССР;Среднеазиатский;2141737;4142;1973171;2137595;г. Фергана;40.386389;71.786389
133;Хорезмская область;Хорезмская;Узбекская ССР;Среднеазиатский;Узбекская ССР;Среднеазиатский;1012313;339;970560;1011974;г. Ургенч;41.55;60.633333
134;Актюбинская область;Актюбинская;Казахская ССР;Казахстанский;Казахская ССР;Казахская ССР;732653;5561;560934;727092;г. Актюбинск;50.3;57.166667
135;г. Алма-Ата;г. Алма-Ата;Казахская ССР;Казахстанский;Казахская ССР;Казахская ССР;1121395;26732;452161;1094663;г. Алма-Ата;43.25;76.9
136;Алма-Атинская область;Алма-Атинская;Казахская ССР;Казахстанский;Казахская ССР;Казахская ССР;977373;47441;605491;929932;г. Алма-Ата;43.25;76.9
137;Восточно-Казахстанская область;Восточно-Казахстанская;Казахская ССР;Казахстанский;Казахская ССР;Казахская ССР;931267;4808;703083;926459;г. Усть-Каменогорск;49.95;82.616667
138;Гурьевская область;Гурьевская;Казахская ССР;Казахстанский;Казахская ССР;Казахская ССР;748951;1729;545161;747222;г. Гурьев;47.116667;51.883333
139;Джамбулская область;Джамбулская;Казахская ССР;Казахстанский;Казахская ССР;Казахская ССР;1038667;13633;731117;1025034;г. Джамбул;42.883333;71.366667
140;Джезказганская область;Джезказганская;Казахская ССР;Казахстанский;Казахская ССР;Казахская ССР;493601;3183;295426;490418;г. Джезказган;47.783333;67.7
141;Карагандинская область;Карагандинская;Казахская ССР;Казахстанский;Казахская ССР;Казахская ССР;1347636;15183;720069;1332453;г. Караганда;49.8;73.116667
142;Кзыл-Ординская область;Кзыл-Ординская;Казахская ССР;Казахстанский;Казахская ССР;Казахская ССР;644979;2589;536722;642390;г. Кзыл-Орда;44.85;65.516667
143;Кокчетавская область;Кокчетавская;Казахская ССР;Казахстанский;Казахская ССР;Казахская ССР;662125;1324;465772;660801;г. Кокчетав;53.291667;69.391667
144;Кустанайская область;Кустанайская;Казахская ССР;Казахстанский;Казахская ССР;Казахская ССР;1222705;11217;770066;1211488;г. Кустанай;53.21435;63.62463
145;Павлодарская область;Павлодарская;Казахская ССР;Казахстанский;Казахская ССР;Казахская ССР;942313;3391;588968;938922;г. Павлодар;52.315556;76.956389
146;Северо-Казахстанская область;Северо-Казахстанская;Казахская ССР;Казахстанский;Казахская ССР;Казахская ССР;599696;872;438744;598824;г. Петропавловск;54.862222;69.140833
147;Семипалатинская область;Семипалатинская;Казахская ССР;Казахстанский;Казахская ССР;Казахская ССР;834417;34372;604492;800045;г. Семипалатинск;50.411111;80.2275
148;Талды-Курганская область;Талды-Курганская;Казахская ССР;Казахстанский;Казахская ССР;Казахская ССР;716076;29835;532085;686241;г. Талды-Курган;45.016667;78.366667
149;Уральская область;Уральская;Казахская ССР;Казахстанский;Казахская ССР;Казахская ССР;629494;2099;510569;627395;г. Уральск;51.233333;51.366667
150;Целиноградская область;Целиноградская;Казахская ССР;Казахстанский;Казахская ССР;Казахская ССР;1002793;4099;618008;998694;г. Целиноград;51.133333;71.433333
151;Чимкентская область;Чимкентская;Казахская ССР;Казахстанский;Казахская ССР;Казахская ССР;1818323;5762;1520448;1812561;г. Чимкент;42.3;69.6
152;Грузинская ССР (ост.);Грузинская (ост.);Грузинская ССР;Закавказский;Грузинская ССР;Закавказский;3137885;3472;2969535;3134413;г. Тбилиси;41.716667;44.8
153;Абхазская АССР;Абхазская;Грузинская ССР;Закавказский;Грузинская ССР;Закавказский;525061;4365;388118;520696;г. Сухуми;43.003333;41.015278
154;Аджарская АССР;Аджарская;Грузинская ССР;Закавказский;Грузинская ССР;Закавказский;392432;574;328418;391858;г. Батуми;41.645833;41.641667
155;Юго-Осетинская АО;Юго-Осетинская;Грузинская ССР;Закавказский;Грузинская ССР;Закавказский;98527;285;87879;98242;г. Цхинвали;42.225661;43.970072
