origin;destination;year;migrants
1119;2088;2015;84
1119;2102;2015;7
1119;2107;2015;5
1119;2127;2015;19
1119;2137;2015;1
1119;2157;2015;1
1119;2181;2015;1
1119;2182;2015;2
1119;2189;2015;125
1119;2198;2015;1
1119;2199;2015;1
1119;2200;2015;2
1119;2202;2015;309
1119;2203;2015;163
1119;2219;2015;2
1119;2222;2015;2
1119;2223;2015;1
1119;2230;2015;7
1119;2250;2015;109
1120;2001;2015;15
1120;2003;2015;1
1120;2004;2015;131
1120;2005;2015;10
1120;2006;2015;7
1120;2009;2015;33
1120;2011;2015;1
1120;2014;2015;388
1120;2016;2015;26
1120;2018;2015;7
1120;2021;2015;52
1120;2024;2015;9
1120;2026;2015;2
1120;2028;2015;2
1120;2030;2015;2
1120;2034;2015;15
1120;2037;2015;1
1120;2038;2015;1
1120;2040;2015;3
1120;2041;2015;190
1120;2043;2015;7
1120;2046;2015;10
1120;2048;2015;1
1120;2049;2015;15
1120;2050;2015;20
1120;2051;2015;59
1120;2056;2015;1
1120;2058;2015;7
1120;2059;2015;32
1120;2061;2015;1
1120;2062;2015;1
1120;2064;2015;1
1120;2065;2015;8
1120;2066;2015;40
1120;2068;2015;3
1120;2069;2015;24
1120;2070;2015;131
1120;2071;2015;11
1120;2072;2015;35
1120;2073;2015;181
1120;2074;2015;2
1120;2077;2015;4
1120;2078;2015;5
1120;2079;2015;13
1120;2080;2015;4
1120;2081;2015;405
1120;2082;2015;1
1120;2083;2015;1
1120;2084;2015;1
1120;2085;2015;2
1120;2086;2015;13
1120;2088;2015;151
1120;2090;2015;143
1120;2091;2015;18
1120;2093;2015;33
1120;2094;2015;38
1120;2096;2015;7
1120;2097;2015;1
1120;2098;2015;10
1120;2099;2015;9
1120;2101;2015;16
1120;2102;2015;4
1120;2105;2015;2
1120;2107;2015;5
1120;2110;2015;1
1120;2112;2015;11
1120;2116;2015;2
1120;2117;2015;19
1120;2121;2015;22
1120;2124;2015;1
1120;2126;2015;16
1120;2127;2015;404
1120;2129;2015;53
1120;2132;2015;5
1120;2133;2015;9
1120;2135;2015;31
1120;2138;2015;6
1120;2142;2015;2
1120;2143;2015;2
1120;2144;2015;3
1120;2150;2015;8
1120;2152;2015;18
1120;2157;2015;2
1120;2159;2015;2
1120;2160;2015;6
1120;2163;2015;1
1120;2164;2015;2
1120;2168;2015;1
1120;2170;2015;6
1120;2173;2015;8
1120;2176;2015;1
1120;2178;2015;43
1120;2179;2015;2
1120;2181;2015;7
1120;2182;2015;24
1120;2184;2015;10
1120;2185;2015;1
1120;2185;2015;1
1120;2188;2015;1
1120;2189;2015;462
1120;2190;2015;16
1120;2198;2015;10
1120;2199;2015;604
1120;2200;2015;111
1120;2201;2015;1
1120;2202;2015;1660
1120;2203;2015;756
1120;2211;2015;7
1120;2212;2015;1
1120;2215;2015;3
1120;2216;2015;1
1120;2217;2015;4
1120;2218;2015;1
1120;2219;2015;5
1120;2222;2015;1
1120;2223;2015;12
1120;2224;2015;5
1120;2225;2015;29
1120;2229;2015;3
1120;2230;2015;4
1120;2231;2015;3
1120;2233;2015;2
1120;2235;2015;1
1120;2250;2015;1791
1122;2001;2015;9
1122;2003;2015;1
1122;2004;2015;591
1122;2006;2015;9
1122;2009;2015;1
1122;2010;2015;1
1122;2014;2015;898
1122;2021;2015;58
1122;2023;2015;2
1122;2026;2015;3
1122;2029;2015;12
1122;2030;2015;2
1122;2037;2015;2
1122;2040;2015;2
1122;2041;2015;10
1122;2046;2015;5
1122;2051;2015;34
1122;2058;2015;1
1122;2059;2015;70
1122;2064;2015;1
1122;2065;2015;6
1122;2066;2015;9
1122;2068;2015;19
1122;2069;2015;9
1122;2070;2015;44
1122;2072;2015;3
1122;2073;2015;2
1122;2074;2015;1
1122;2077;2015;10
1122;2078;2015;9
1122;2081;2015;344
1122;2083;2015;4
1122;2084;2015;8
1122;2086;2015;13
1122;2087;2015;2
1122;2088;2015;324
1122;2090;2015;111
1122;2091;2015;1
1122;2093;2015;2
1122;2095;2015;60
1122;2096;2015;11
1122;2098;2015;1
1122;2100;2015;1
1122;2102;2015;9
1122;2105;2015;1
1122;2107;2015;8
1122;2110;2015;2
1122;2115;2015;2
1122;2116;2015;41
1122;2119;2015;6
1122;2121;2015;23
1122;2124;2015;1
1122;2126;2015;1
1122;2127;2015;247
1122;2132;2015;20
1122;2135;2015;4
1122;2137;2015;1
1122;2142;2015;4
1122;2150;2015;1
1122;2151;2015;1
1122;2159;2015;2
1122;2168;2015;1
1122;2176;2015;2
1122;2177;2015;1
1122;2178;2015;2
1122;2181;2015;3
1122;2182;2015;16
1122;2184;2015;1
1122;2189;2015;587
1122;2192;2015;6
1122;2198;2015;6
1122;2199;2015;37
1122;2200;2015;38
1122;2202;2015;2490
1122;2203;2015;583
1122;2209;2015;1
1122;2211;2015;22
1122;2219;2015;2
1122;2221;2015;4
1122;2222;2015;1
1122;2223;2015;1
1122;2224;2015;1
1122;2229;2015;2
1122;2230;2015;9
1122;2233;2015;3
1122;2236;2015;1
1122;2250;2015;741
1124;2001;2015;1
1124;2004;2015;4
1124;2014;2015;15
1124;2021;2015;6
1124;2026;2015;1
1124;2051;2015;20
1124;2058;2015;2
1124;2059;2015;1
1124;2061;2015;1
1124;2069;2015;9
1124;2077;2015;1
1124;2078;2015;2
1124;2081;2015;7
1124;2084;2015;3
1124;2088;2015;7
1124;2107;2015;3
1124;2127;2015;22
1124;2142;2015;1
1124;2181;2015;1
1124;2182;2015;7
1124;2189;2015;19
1124;2199;2015;1
1124;2200;2015;7
1124;2202;2015;40
1124;2203;2015;33
1124;2211;2015;3
1124;2222;2015;1
1124;2230;2015;1
1124;2233;2015;1
1124;2250;2015;66
1125;2001;2015;3
1125;2002;2015;3
1125;2003;2015;5
1125;2004;2015;122
1125;2006;2015;1
1125;2014;2015;303
1125;2021;2015;21
1125;2026;2015;1
1125;2051;2015;16
1125;2058;2015;1
1125;2059;2015;21
1125;2061;2015;1
1125;2069;2015;20
1125;2071;2015;1
1125;2072;2015;2
1125;2078;2015;2
1125;2081;2015;131
1125;2084;2015;6
1125;2088;2015;267
1125;2090;2015;23
1125;2096;2015;1
1125;2102;2015;1
1125;2107;2015;4
1125;2127;2015;42
1125;2129;2015;8
1125;2152;2015;1
1125;2159;2015;5
1125;2170;2015;1
1125;2176;2015;3
1125;2178;2015;3
1125;2181;2015;1
1125;2182;2015;8
1125;2189;2015;565
1125;2190;2015;1
1125;2200;2015;3
1125;2202;2015;405
1125;2203;2015;214
1125;2208;2015;1
1125;2209;2015;5
1125;2211;2015;1
1125;2219;2015;3
1125;2221;2015;1
1125;2222;2015;1
1125;2230;2015;1
1125;2250;2015;159
1126;2003;2015;1
1126;2004;2015;8
1126;2014;2015;1
1126;2021;2015;2
1126;2023;2015;4
1126;2051;2015;3
1126;2059;2015;14
1126;2081;2015;108
1126;2088;2015;4
1126;2090;2015;1
1126;2127;2015;2
1126;2137;2015;1
1126;2178;2015;1
1126;2189;2015;1
1126;2202;2015;4
1126;2203;2015;4
1126;2250;2015;25
1127;2002;2015;6
1127;2003;2015;3
1127;2004;2015;55
1127;2014;2015;155
1127;2016;2015;2
1127;2018;2015;1
1127;2021;2015;67
1127;2023;2015;13
1127;2026;2015;1
1127;2030;2015;1
1127;2051;2015;255
1127;2058;2015;3
1127;2059;2015;9
1127;2061;2015;1
1127;2064;2015;2
1127;2069;2015;8
1127;2075;2015;1
1127;2077;2015;1
1127;2081;2015;866
1127;2084;2015;11
1127;2088;2015;376
1127;2090;2015;1
1127;2102;2015;36
1127;2105;2015;1
1127;2107;2015;79
1127;2127;2015;57
1127;2137;2015;4
1127;2140;2015;1
1127;2142;2015;2
1127;2159;2015;14
1127;2177;2015;1
1127;2178;2015;1
1127;2181;2015;4
1127;2182;2015;24
1127;2189;2015;69
1127;2190;2015;3
1127;2199;2015;8
1127;2200;2015;2
1127;2202;2015;368
1127;2203;2015;223
1127;2209;2015;2
1127;2211;2015;2
1127;2219;2015;4
1127;2221;2015;2
1127;2222;2015;6
1127;2224;2015;1
1127;2230;2015;8
1127;2236;2015;1
1127;2250;2015;517
1128;2001;2015;3
1128;2002;2015;2
1128;2003;2015;1
1128;2004;2015;166
1128;2014;2015;465
1128;2021;2015;27
1128;2023;2015;3
1128;2026;2015;4
1128;2030;2015;1
1128;2037;2015;3
1128;2038;2015;1
1128;2041;2015;6
1128;2051;2015;26
1128;2058;2015;2
1128;2059;2015;61
1128;2065;2015;3
1128;2069;2015;5
1128;2070;2015;1
1128;2072;2015;1
1128;2073;2015;4
1128;2074;2015;2
1128;2077;2015;2
1128;2078;2015;5
1128;2079;2015;1
1128;2081;2015;201
1128;2084;2015;4
1128;2088;2015;130
1128;2090;2015;2
1128;2098;2015;1
1128;2102;2015;15
1128;2105;2015;1
1128;2107;2015;3
1128;2121;2015;1
1128;2127;2015;459
1128;2129;2015;1
1128;2135;2015;2
1128;2140;2015;1
1128;2142;2015;1
1128;2176;2015;2
1128;2178;2015;3
1128;2181;2015;4
1128;2182;2015;8
1128;2185;2015;1
1128;2185;2015;1
1128;2189;2015;799
1128;2190;2015;1
1128;2199;2015;42
1128;2200;2015;6
1128;2202;2015;505
1128;2203;2015;427
1128;2209;2015;2
1128;2218;2015;2
1128;2219;2015;2
1128;2222;2015;1
1128;2230;2015;16
1128;2232;2015;1
1128;2236;2015;1
1128;2250;2015;219
1129;2001;2015;2
1129;2003;2015;1
1129;2004;2015;165
1129;2008;2015;3
